,slot,initial_score,final_score,reduction
0,6,203532586000,43117000,203489469000
1,40,100540353000,50510353000,50030000000
2,41,120000000,80000000000,-79880000000
3,7,3822835000,191101000,3631734000
4,43,100400310000,70400310000,30000000000
5,5,90072000,60020072000,-59930000000
6,42,1252472000,600000,1251872000
7,46,102463274000,71988000,102391286000
8,0,2323562000,30600000,2292962000
9,1,100000000,80000000000,-79900000000
10,47,100490265000,60927000,100429338000
11,3,1532319000,171513000,1360806000
12,45,101603302000,31453302000,70150000000
13,44,2351915000,50130000,2301785000
14,2,201353000000,131203000000,70150000000
15,37,1342771000,73134000,1269637000
16,23,1502780000,20000000000,-18497220000
17,22,103093082000,43043082000,60050000000
18,36,2615113000,133236000,2481877000
19,20,2915088000,135940000,2779148000
20,34,420235000,0,420235000
21,35,1021708000,62161000,959547000
22,21,3616472000,131134000,3485338000
23,25,104506557000,231874000,104274683000
24,31,1572896000,70155000,1502741000
25,19,4375851000,95728000,4280123000
26,18,180379000,40000600000,-39820221000
27,30,102355090000,12275090000,90080000000
28,24,4286734000,97339000,4189395000
29,32,2534679000,32200000,2502479000
30,26,104094639000,33944639000,70150000000
31,27,821613000,150768000,670845000
32,33,1962328000,1679000,1960649000
33,16,100300000,70000000000,-69899700000
34,17,100661216000,10631216000,90030000000
35,29,5476038000,102507000,5373531000
36,15,100925045000,10825045000,90100000000
37,14,200250058000,150100058000,50150000000
38,28,781080000,112044000,669036000
39,10,451109000,75000,451034000
40,38,740827000,150737000,590090000
41,39,2632394000,132108000,2500286000
42,11,3253858000,86537000,3167321000
43,13,2106909000,64641000,2042268000
44,12,6425312000,24957000,6400355000
45,49,103987355000,13837355000,90150000000
46,48,5506168000,192480000,5313688000
47,9,203482310000,100175000,203382135000
48,8,5086300000,50000000,5036300000
