slot, fm_row, fm_level, to_row, to_level
40870, 8, 3, 3, 1
40870, 8, 2, 3, 2
40870, 8, 1, 3, 3
40870, 3, 3, 9, 1
40870, 3, 2, 9, 2
40870, 9, 2, 8, 1
40870, 1, 4, 8, 2
40870, 1, 3, 8, 3
40870, 3, 1, 1, 2
40870, 8, 4, 3, 1
40870, 1, 2, 8, 4
40870, 2, 4, 9, 2
40870, 1, 1, 2, 4
40870, 9, 2, 1, 1
40870, 8, 5, 3, 3
40870, 7, 2, 8, 5
40870, 2, 4, 9, 2
40870, 6, 5, 2, 4
40870, 9, 2, 6, 5
40870, 5, 5, 1, 2
40870, 5, 4, 1, 3
40870, 1, 5, 7, 2
40870, 5, 1, 1, 5
40870, 7, 2, 5, 1
40870, 8, 5, 3, 4
40870, 4, 5, 8, 5
40870, 3, 4, 4, 5
40870, 6, 5, 2, 5
40870, 2, 4, 10, 2
40870, 6, 5, 2, 4
40870, 10, 2, 6, 5
